Term;Stemmed;Variations;Frequency
nomonomorphismrestriction language extension;nomonomorphismrestriction language extension;nomonomorphismrestriction language extension;0
natural language;natural language;natural language;0
example;example;examples, example;475
queries (database);query ( database );queries (database);0
infinite recursion;infinite recursion;infinite recursion;0
immutable array;immutable array;immutable arrays, immutable array;0
structures 2nd 3rd [see also data structures];structure 2nd 3rd [ see also data structure ];structures 2nd 3rd [see also data structures];0
python programming;python programming;python programming;1
hfilesize function;hfilesize function;hfilesize function;0
error handling;error handling;error handling;1
redirect handler;redirect handler;redirect handler;8
temporary file;temporary file;temporary files, temporary file;1
id function;id function;id function;0
open world assumption;open world assumption;open world assumption;0
square brackets ([ ]);square bracket ([ ]);square brackets ([ ]);0
feature;feature;features, feature;14
defining and using new;defining and using new;defining and using new;0
jenkins hash function;jenkins hash function;jenkins hash functions, jenkins hash function;0
splitting line;splitting line;splitting lines, splitting line;0
PGM file;pgm file;PGM files, PGM file;0
compound statement;compound statement;compound statement;0
typed;typed;typed;17
print usage;print usage;print usage;2
functor typeclass;functor typeclass;functor typeclass;0
constant time;constant time;constant time;1
priority queue;priority queue;priority queue;0
datatype;datatype;datatype;41
foldr function;foldr function;foldr function;0
invalid roman;invalid roman;invalid roman;5
curried function;curried function;curried functions, curried function;0
autocommit mode (databases);autocommit mode ( database );autocommit mode (databases);0
order;order;order;50
restriction;restriction;restrictions, restriction;0
right value;right value;right value;0
deck;deck;deck;0
setfiletimes function;setfiletimes function;setfiletimes function;0
FIFO;fifo;FIFO;0
parse type 2nd;parse type 2nd;parse type 2nd;0
version number;version number;version number;9
regexp [see regular expressions];regexp [ see regular expression ];regexp [see regular expressions];0
writing;writing;writing;35
type-based testing;type-based testing;type-based testing;0
condition;condition;conditions, condition;8
programming with;programming with;programming with;0
IO type;io type;IO type;0
decorator;decorator;decorator;0
memory location;memory location;memory locations, memory location;2
tointeger function;tointeger function;tointeger function;0
maybe monad;maybe monad;maybe monads, maybe monad;0
full pathname;full pathname;full pathname;8
type name;type name;type names, type name;0
hanging lambda;hanging lambda;hanging lambdas, hanging lambda;0
low-level language;low-level language;low-level language;0
derivedatatypeable;derivedatatypeable;derivedatatypeable;0
partial pathname;partial pathname;partial pathname;6
combining;combining;combining;5
lazy evaluation;lazy evaluation;lazy evaluations, lazy evaluation;0
realtofrac function;realtofrac function;realtofrac function;0
multiline literal;multiline literal;multiline literals, multiline literal;0
7-bit ascii;7-bit ascii;7-bit ascii;0
ghci;ghci;GHCi, ghci;0
frominteger function;frominteger function;frominteger function;0
quickcheck function;quickcheck function;quickcheck function;0
Data.Map module 2nd;Data.Map module 2nd;Data.Map module 2nd;0
parallel programs 2nd;parallel program 2nd;parallel programs 2nd;0
standard;standard;standard;45
function body;function body;function body;0
shared pattern;shared pattern;shared patterns, shared pattern;0
multiline string literal;multiline string literal;multiline string literals, multiline string literal;0
infix;infix;infix;0
shiftr function;shiftr function;shiftr function;0
logging;logging;logging;0
wrapper function;wrapper function;wrapper function;0
empty string;empty string;empty string;20
signature;signature;signatures, signature;0
hugs interpreter;hug interpreter;hugs interpreter;0
>>;>>;>>;0
system;system;systems, system;36
idempotency;idempotency;idempotency;0
IConnection typeclass;iconnection typeclass;IConnection typeclass;0
metadata (database);metadata ( database );metadata (database);0
prefix notation;prefix notation;prefix notation;0
service;service;services, service;82
parametric polymorphism;parametric polymorphism;parametric polymorphism;0
any newtype constructor;any newtype constructor;any newtype constructor;0
word type;word type;word type;0
current working;current working;current working;6
string type;string type;string type;0
literal hyphen;literal hyphen;literal hyphen;3
resource management;resource management;resource management;0
atomically block;atomically block;atomically blocks, atomically block;0
x:xs pattern;x : x pattern;x:xs pattern;0
regular expression;regular expression;regular expressions, regular expression;172
keyword;keyword;keyword;8
representing datum;representing datum;representing data, representing datum;0
iteration;iteration;iteration;6
property-based testing;property-based testing;property-based testing;0
project;project;projects, project;9
pi value;pi value;pi value;0
matching on;matching on;matching on;0
infinite list;infinite list;infinite lists, infinite list;0
fractional division (/) option;fractional division (/) option;fractional division (/) option;0
question mark (?);question mark (?);question mark (?);0
parsebyte function;parsebyte function;parsebyte function;0
ancestor method;ancestor method;ancestor method;8
increment;increment;increment;4
compile-time error;compile-time error;compile-time error;0
pattern match;pattern match;pattern matches, pattern match;5
latency;latency;latency;0
strings and character;string and character;strings and characters, strings and character;0
minion hosts;minion hosts;minion hosts;0
doc data type;doc data type;doc data type;0
test datum;test datum;test data, test datum;0
prompt directive (ghci);prompt directive ( ghci );prompt directive (ghci);0
re module;re module;re module;0
ternary type;ternary type;ternary type;0
return keyword;return keyword;return keyword;0
recursive type;recursive type;recursive types, recursive type;0
try keyword;try keyword;try keyword;0
denominator;denominator;denominator;0
python style;python style;python style;2
regular;regular;regular;201
HPC (Haskell Program Coverage);hpc ( haskell program coverage );HPC (Haskell Program Coverage);0
known value;known value;known values, known value;12
dom;dom;dom;17
doc;doc;docs, doc;46
UPC-A barcodes;UPC-A barcodes;UPC-A barcodes;0
syntax;syntax;syntax;70
I/O and;I/O and;I/O and;0
tab size;tab size;tab size;0
do notation;do notation;do notation;0
monad law;monad law;monad laws, monad law;0
Control.Monad.Trans module;Control.Monad.Trans module;Control.Monad.Trans module;0
binding function [see (>>=) operator];binding function [ see (>>=) operator ];binding function [see (>>=) operator];0
file object;file object;file objects, file object;28
expression syntax;expression syntax;expression syntax;3
testing code;testing code;testing code;0
case study;case study;case study;11
tuple assignment;tuple assignment;tuple assignment;0
pcre.h header file;pcre.h header file;pcre.h header file;0
mapping over;mapping over;mapping over;0
temporary redirect;temporary redirect;temporary redirects, temporary redirect;5
directories and file;directory and file;directories and files, directories and file;1
hseek function;hseek function;hseek function;0
logbase function;logbase function;logbase function;0
command-line application;command-line application;command-line applications, command-line application;0
3d vector type;3d vector type;3d vector type;0
method;method;methods, method;476
search result;search result;search results, search result;5
dead code;dead code;dead code;0
file descriptors (FDs);file descriptor ( fds );file descriptors (FDs);0
lifted function;lifted function;lifted functions, lifted function;0
program termination;program termination;program termination;0
reference;reference;reference;89
Control.Exception module 2nd 3rd;Control.Exception module 2nd 3rd;Control.Exception module 2nd 3rd;0
mtl library 2nd;mtl library 2nd;mtl library 2nd;0
LINE pragma;line pragma;LINE pragma;0
url routing;url routing;url routing;0
cloning;cloning;cloning;0
Haskell Foreign Function Interface (FFI);haskell foreign function interface ( ffi );Haskell Foreign Function Interface (FFI);0
list equality;list equality;list equality;0
type declaration;type declaration;type declaration;0
types and purity;type and purity;types and purity;0
filename;filename;filenames, filename;51
error checking;error checking;error checking;1
call graph;call graph;call graph;0
file-like object;file-like object;file-like objects, file-like object;36
sort function;sort function;sort function;0
redirect statu;redirect statu;redirect status, redirect statu;0
lazy;lazy;lazy;0
Product id of barcodes;product id of barcodes;Product IDs of barcodes, Product id of barcodes;0
linked queue;linked queue;linked queue;0
preprocessor;preprocessor;preprocessor;0
log file;log file;log file;6
immutable type;immutable type;immutable types, immutable type;0
I/O (input/output) and;I/O (input/output) and;I/O (input/output) and;0
seek pointer;seek pointer;seek pointers, seek pointer;0
line of code;line of code;lines of code, line of code;24
http web service;http web service;http web services, http web service;12
shell scripting;shell scripting;shell scripting;0
monad;monad;monads, monad;0
internal module;internal module;internal modules, internal module;0
pack function;pack function;pack function;0
your project;your project;your project;1
ascii character;ascii character;ascii characters, ascii character;7
comprehension;comprehension;comprehensions, comprehension;40
type definition;type definition;type definitions, type definition;0
non-threaded runtime;non-threaded runtime;non-threaded runtime;0
exception type;exception type;exception type;0
positional types;positional types;positional types;0
interpret;interpret;interpret;0
math function;math function;math function;0
flexible;flexible;flexible;7
numpy;numpy;numpy;0
redirection (pipes);redirection ( pipe );redirection (pipes);0
syntax error;syntax error;syntax errors, syntax error;0
monomorphism;monomorphism;monomorphism;0
System.FilePath module 2nd;System.FilePath module 2nd;System.FilePath module 2nd;0
monomorphism restriction;monomorphism restriction;monomorphism restriction;0
python programming module;python programming module;python programming modules, python programming module;0
input;input;input;97
monoid instance;monoid instance;monoid instance;0
exception;exception;exceptions, exception;133
formatting;formatting;formatting;53
boilerplate code;boilerplate code;boilerplate code;0
dot product;dot product;dot product;0
normal form (NF);normal form ( nf );normal form (NF);0
or function;or function;or function;3
bytestring module;bytestring module;bytestring modules, bytestring module;0
leaf node;leaf node;leaf node;0
python programming database;python programming database;python programming databases, python programming database;0
deep equality;deep equality;deep equality;0
custom data types for;custom data type for;custom data types for;0
Data.Traversable module;Data.Traversable module;Data.Traversable module;0
encoding scheme;encoding scheme;encoding scheme;9
python standard library;python standard library;python standard library;0
long integer division;long integer division;long integer division;0
recursion;recursion;recursion;3
MVar type 2nd 3rd;mvar type 2nd 3rd;MVar type 2nd 3rd;0
haskell 98;haskell 98;haskell 98;0
listing directories with;listing directory with;listing directories with;0
-sstderr RTS option 2nd;-sstderr RTS option 2nd;-sstderr RTS option 2nd;0
partial type monad instance;partial type monad instance;partial type monad instances, partial type monad instance;0
nil;nil;nil;0
function object;function object;function object;2
state monads 2nd 3rd;state monad 2nd 3rd;state monads 2nd 3rd;0
emptydatadecl;emptydatadecl;emptydatadecls, emptydatadecl;0
type class constraint;type class constraint;type class constraint;0
file modification;file modification;file modifications, file modification;0
conditional execution;conditional execution;conditional execution;0
compiling source code;compiling source code;compiling source code;0
valid roman;valid roman;valid roman;11
client;client;client;14
nobuffering mode (buffermode);nobuffering mode ( buffermode );nobuffering mode (buffermode);0
python exception;python exception;python exception;2
ix type;ix type;ix type;0
text substitution;text substitution;text substitutions, text substitution;2
permissive type;permissive type;permissive types, permissive type;0
Build-Depends field;Build-Depends field;Build-Depends fields, Build-Depends field;0
currying;currying;currying;0
ascii string;ascii string;ascii string;4
anonymous (lambda) functions 2nd;anonymous ( lambda ) function 2nd;anonymous (lambda) functions 2nd;0
setting item;setting item;setting items, setting item;0
transformer;transformer;transformers, transformer;0
pure error handling;pure error handling;pure error handling;0
gen environment;gen environment;gen environment;0
nothing value;nothing value;nothing value;0
character;character;characters, character;222
newtype declaration;newtype declaration;newtype declarations, newtype declaration;0
recursive case;recursive case;recursive case;0
command prompt;command prompt;command prompt;2
ancestor class;ancestor class;ancestor class;6
named argument;named argument;named arguments, named argument;5
reuse;reuse;reuse;0
SELECT statement;select statement;SELECT statements, SELECT statement;0
monad stack;monad stack;monad stack;0
dealing card;dealing card;dealing cards, dealing card;0
fusion;fusion;fusion;0
zipwith function;zipwith function;zipwith function;0
combining function;combining function;combining functions, combining function;0
the list monad;the list monad;the list monad;0
list concatenation;list concatenation;list concatenation;0
call graph function;call graph function;call graph function;0
working directory;working directory;working directory;6
reading/modifying state;reading/modifying state;reading/modifying state;0
transformer stacking;transformer stacking;transformer stacking;0
starvation;starvation;starvation;0
numeric character;numeric character;numeric characters, numeric character;12
toupper function;toupper function;toupper function;0
withtransaction function;withtransaction function;withtransaction function;0
type class instance;type class instance;type class instance;0
Haskell Program Coverage (HPC);haskell program coverage ( hpc );Haskell Program Coverage (HPC);0
quicksort algorithm;quicksort algorithm;quicksort algorithm;0
invisible data dependency;invisible data dependency;invisible data dependencies, invisible data dependency;0
decrement;decrement;decrement;2
soap web;soap web;soap web;22
category theory;category theory;category theory;0
insert function;insert function;insert function;0
everything;everything;everything;61
Data.Sequence module;Data.Sequence module;Data.Sequence module;0
incremental development plan;incremental development plan;incremental development plan;0
core;core;cores, core;6
overlappinginstances language extension;overlappinginstances language extension;overlappinginstances language extension;0
automatic derivation;automatic derivation;automatic derivation;0
precedence and associativity;precedence and associativity;precedence and associativity;0
left-biased function;left-biased function;left-biased functions, left-biased function;0
animal game;animal game;animal game;0
linked list;linked list;linked list;1
arbitrary header;arbitrary header;arbitrary headers, arbitrary header;3
word64 type;word64 type;word64 type;0
chapter;chapter;chapter;154
strong type;strong type;strong types, strong type;0
getmodificationtime function;getmodificationtime function;getmodificationtime function;0
stateful computation;stateful computation;stateful computations, stateful computation;0
code style;code style;code style;0
loop body;loop body;loop body;0
sum type;sum type;sum types, sum type;0
overlapping instance;overlapping instance;overlapping instances, overlapping instance;0
Control.Parallel.Strategies module;Control.Parallel.Strategies module;Control.Parallel.Strategies module;0
antecedents test;antecedent test;antecedents test;2
accessing element;accessing element;accessing element;5
float;float;float;4
string object;string object;string object;1
parsing;parsing;parsing;38
rendering;rendering;rendering;0
haskell;haskell;haskell;0
base case;base case;base case;0
range check;range check;range check;3
compression;compression;compression;14
support;support;supports, support;43
geometric sequence;geometric sequence;geometric sequence;0
Coordinated Universal Time (UTC);coordinated universal time ( utc );Coordinated Universal Time (UTC);0
boolean function;boolean function;boolean function;0
fraction;fraction;fraction;2
UIDs (user IDs);uids ( user ids );UIDs (user IDs);0
ghc compiler 2nd;ghc compiler 2nd;ghc compiler 2nd;0
openbinarytempfile function;openbinarytempfile function;openbinarytempfile function;0
DST (Daylight Saving Time);dst ( daylight saving time );DST (Daylight Saving Time);0
gettables function;gettables function;gettables function;0
else keyword;else keyword;else keyword;0
putst function;putst function;putst function;0
subclassing;subclassing;subclassing;4
implicit state 2nd;implicit state 2nd;implicit state 2nd;0
com api;com api;com apis, com api;0
external program;external program;external programs, external program;0
true;true;true;53
templates (c++);template ( c ++);templates (c++);0
numeric types 2nd;numeric type 2nd;numeric types 2nd;0
vs. tab character;vs. tab character;vs. tab characters, vs. tab character;0
fraction addition;fraction addition;fraction addition;0
traverse function 2nd;traverse function 2nd;traverse function 2nd;0
UTC (Coordinated Universal Time);utc ( coordinated universal time );UTC (Coordinated Universal Time);0
POST method (HTTP);POST method (HTTP);POST method (HTTP);0
IO monad;io monad;IO monad;0
sfetchallrows' function;sfetchallrows ' function;sfetchallrows' function;0
python documentation;python documentation;python documentation;0
wild card;wild card;wild card;0
list creation;list creation;list creation;0
main loop (GUI programming);main loop ( gui programming );main loop (GUI programming);0
lists 2nd 3rd 4th;list 2nd 3rd 4th;lists 2nd 3rd 4th;0
-fvia-C GHC option;-fvia-C GHC option;-fvia-C GHC option;0
Foreign.C.String module 2nd;Foreign.C.String module 2nd;Foreign.C.String module 2nd;0
word8 type;word8 type;word8 type;0
roman numeral;roman numeral;roman numerals, roman numeral;87
check;check;check;67
encrypt;encrypt;encrypt;0
STM (software transactional memory);stm ( software transactional memory );STM (software transactional memory);0
override function;override function;override functions, override function;0
different variable;different variable;different variables, different variable;3
fedora linux;fedora linux;fedora linux;0
test;test;tests, test;254
immutable state;immutable state;immutable states, immutable state;0
enum keyword (C/C++);enum keyword (C/C++);enum keyword (C/C++);0
node;node;node;62
thread map;thread map;thread maps, thread map;0
mutable array;mutable array;mutable arrays, mutable array;0
variable;variable;variables, variable;167
runtime error message;runtime error message;runtime error messages, runtime error message;0
PostgreSQL;PostgreSQL;PostgreSQL;0
compile-time error message;compile-time error message;compile-time error messages, compile-time error message;0
argument list;argument list;argument list;8
logical and (&&);logical and (&&);logical and (&&);0
either type;either type;either type;0
Data.Monoid module;Data.Monoid module;Data.Monoid module;0
number system of barcodes;number system of barcodes;number systems of barcodes, number system of barcodes;0
concept;concept;concepts, concept;16
global;global;global;13
datum;datum;data, datum;0
error stream;error stream;error stream;0
linebuffering mode (buffermode);linebuffering mode ( buffermode );linebuffering mode (buffermode);0
map function;map function;map function;0
list cloning;list cloning;list cloning;0
record syntax;record syntax;record syntax;0
p3 (plain) netpbm image format;p3 ( plain ) netpbm image format;p3 (plain) netpbm image format;0
underlying http;underlying http;underlying http;3
soap fault;soap fault;soap faults, soap fault;6
predicate;predicate;predicates, predicate;0
implicit state;implicit state;implicit state;0
unicode datum;unicode datum;unicode data, unicode datum;0
universal newline support;universal newline support;universal newline support;0
class dictionary;class dictionary;class dictionaries, class dictionary;0
word;word;word;55
numeric 2nd;numeric 2nd;numeric 2nd;0
newtype;newtype;newtype;0
programming environment;programming environment;programming environment;0
format string;format string;format string;0
level;level;level;26
binary function;binary function;binary function;0
structural recursion;structural recursion;structural recursion;0
custom url;custom url;custom url;9
leading character;leading character;leading characters, leading character;5
standard library;standard library;standard library;1
typeclasses 2nd;typeclasses 2nd;typeclasses 2nd;0
pipe (|);pipe (|);pipe (|);0
cargo;cargo;cargo;0
object contain;object contain;object contains, object contain;0
true boolean value;true boolean value;true boolean value;0
template;template;template;0
GET method (HTTP);get method ( http );GET method (HTTP);0
barcode;barcode;barcodes, barcode;0
guardian;guardian;guardian;0
parse type;parse type;parse type;0
intergral;intergral;intergral;0
mapm function 2nd;mapm function 2nd;mapm function 2nd;0
re;re;re;296
ubuntu linux;ubuntu linux;ubuntu linux;0
mempty;mempty;mempty;0
random value;random value;random values, random value;0
SQL (Structured Query Language);sql ( structured query language );SQL (Structured Query Language);0
queue;queue;queue;1
delimiter;delimiter;delimiter;7
xml document;xml document;xml documents, xml document;62
web page;web page;web pages, web page;23
NF (normal form);nf ( normal form );NF (normal form);0
purity 2nd 3rd [see also pure functions];purity 2nd 3rd [ see also pure function ];purity 2nd 3rd [see also pure functions];0
do expression;do expression;do expressions, do expression;0
language extension;language extension;language extensions, language extension;0
shift function;shift function;shift function;0
pair (2-tuple);pair (2-tuple);pair (2-tuple);0
GHC-Options property;GHC-Options property;GHC-Options property;0
prelude module 2nd;prelude module 2nd;prelude module 2nd;0
encode;encode;encode;1
scope;scope;scope;8
parsec helper function;parsec helper function;parsec helper functions, parsec helper function;0
leaky code;leaky code;leaky code;0
terminal program;terminal program;terminal program;0
head function 2nd 3rd;head function 2nd 3rd;head function 2nd 3rd;0
distribution;distribution;distribution;0
concat function 2nd 3rd;concat function 2nd 3rd;concat function 2nd 3rd;0
match function;match function;match function;4
Data.Foldable module 2nd;Data.Foldable module 2nd;Data.Foldable module 2nd;0
otherwise expression;otherwise expression;otherwise expression;0
implicit context;implicit context;implicit context;0
hash tables 2nd;hash table 2nd;hash tables 2nd;0
lambda function;lambda function;lambda functions, lambda function;2
functional programming;functional programming;functional programming;4
floating-point number;floating-point number;floating-point numbers, floating-point number;0
binary search tree;binary search tree;binary search tree;0
rnf function;rnf function;rnf function;0
arithmetic expression;arithmetic expression;arithmetic expressions, arithmetic expression;1
return calls 2nd;return call 2nd;return calls 2nd;0
second parameter;second parameter;second parameter;6
indice of arrays;indice of array;indices of arrays, indice of arrays;0
right-associative signature;right-associative signature;right-associative signatures, right-associative signature;0
substring;substring;substrings, substring;6
fundamental ambiguity theorem;fundamental ambiguity theorem;fundamental ambiguity theorem;0
custom data type for errors;custom data type for error;custom data types for errors, custom data type for errors;0
purity;purity;purity;0
counting;counting;counting;8
logical or (||);logical or (||);logical or (||);0
inheritance;inheritance;inheritance;2
set comprehension;set comprehension;set comprehension;0
planned development plan;planned development plan;planned development plan;0
in operator;in operator;in operator;0
international language support;international language support;international language support;0
write;write;write;52
Control.Applicative module;Control.Applicative module;Control.Applicative module;0
pure;pure;pure;3
parameter;parameter;parameters, parameter;57
compiled regular expression;compiled regular expression;compiled regular expression;8
cl compiler;cl compiler;cl compiler;0
map;map;maps, map;36
strictness;strictness;strictness;0
irrational;irrational;irrational;0
clone;clone;clone;0
JSON typeclass;json typeclass;JSON typeclasses, JSON typeclass;0
monadic use;monadic use;monadic use;0
date;date;dates, date;21
soap service;soap service;soap service;6
lifting;lifting;lifting;0
function argument;function argument;function arguments, function argument;10
combinator function;combinator function;combinator functions, combinator function;0
first function;first function;first function;1
operation dictionary;operation dictionary;operation dictionary;0
find command;find command;find command;0
GHC;ghc;GHC;0
python interpreter;python interpreter;python interpreter;8
syndicated feed;syndicated feed;syndicated feed;5
same line;same line;same line;3
character class;character class;character classes, character class;0
non-strict evaluation;non-strict evaluation;non-strict evaluation;0
non-limited length;non-limited length;non-limited length;0
pointer;pointer;pointers, pointer;1
System.Posix.Files module;System.Posix.Files module;System.Posix.Files module;0
processor time;processor time;processor time;2
web application;web application;web applications, web application;0
polymorphic types 2nd;polymorphic type 2nd;polymorphic types 2nd;0
platform;platform;platform;28
window;window;windows, window;14
handling error;handling error;handling errors, handling error;0
passing datum between c and haskell;passing datum between c and haskell;passing data between c and haskell, passing datum between c and haskell;0
class instance;class instance;class instances, class instance;13
user IDs (UIDs);user ids ( uids );user IDs (UIDs);0
proxy class;proxy class;proxy class;4
ADT (abstract data types);adt ( abstract data type );ADT (abstract data types);0
pattern matching;pattern matching;pattern matching;1
equality;equality;equality;0
name;name;name;216
partial function;partial function;partial functions, partial function;0
type system;type system;type system;0
last item;last item;last item;0
slice index;slice index;slice index;8
static method;static method;static methods, static method;0
taking advantage;taking advantage;taking advantage;0
ancestor tree;ancestor tree;ancestor tree;2
well typed rule;well typed rule;well typed rules, well typed rule;0
naming;naming;naming;10
programming paradigm;programming paradigm;programming paradigm;0
xml library;xml library;xml libraries, xml library;4
shadowing;shadowing;shadowing;0
FFI (Haskell Foreign Function Interface);ffi ( haskell foreign function interface );FFI (Haskell Foreign Function Interface);0
putstr function;putstr function;putstr function;0
HTTP request;http request;HTTP requests, HTTP request;2
maybet monad transformer 2nd;maybet monad transformer 2nd;maybet monad transformer 2nd;0
then and else branch;then and else branch;then and else branches, then and else branch;0
operator precedence;operator precedence;operator precedence;0
orm;orm;orm;0
rawsystem function 2nd;rawsystem function 2nd;rawsystem function 2nd;0
card;card;card;0
test discovery;test discovery;test discovery;0
derivedatatypeable language;derivedatatypeable language;derivedatatypeable language;0
programming;programming;programming;25
patternguard;patternguard;patternguards, patternguard;0
Data.Function module;Data.Function module;Data.Function module;0
thing;thing;things, thing;132
recursive definition;recursive definition;recursive definition;0
handlejust function;handlejust function;handlejust function;0
continue statement;continue statement;continue statement;0
lambda;lambda;lambda;48
saving;saving;saving;1
enumeration type;enumeration type;enumeration types, enumeration type;0
flexibleinstance;flexibleinstance;flexibleinstances, flexibleinstance;0
type constructor;type constructor;type constructors, type constructor;0
message;message;messages, message;7
sample code;sample code;sample code;3
partial application;partial application;partial applications, partial application;0
operator work;operator work;operator works, operator work;2
augmented assignment;augmented assignment;augmented assignment;0
functional programming style;functional programming style;functional programming style;0
-funbox-strict-fields option 2nd;-funbox-strict-fields option 2nd;-funbox-strict-fields option 2nd;0
copy;copy;copy;22
expression tree;expression tree;expression tree;0
template file;template file;template files, template file;0
error messages syntax;error message syntax;error messages syntax;0
maybe type;maybe type;maybe type;0
headers (HTTP);header ( http );headers (HTTP);0
argument;argument;arguments, argument;219
generalization;generalization;generalization;0
ptr type;ptr type;ptr type;0
period specify;period specify;period specifies, period specify;0
parameterized;parameterized;parameterized;0
getst function;getst function;getst function;0
object file;object file;object files, object file;0
import directive 2nd;import directive 2nd;import directive 2nd;0
knowledge base;knowledge base;knowledge base;8
exhaustive pattern;exhaustive pattern;exhaustive patterns, exhaustive pattern;0
note;note;note;82
permanent redirect;permanent redirect;permanent redirect;5
monads and 2nd;monad and 2nd;monads and 2nd;0
struct keyword (C/C++);struct keyword (C/C++);struct keyword (C/C++);0
default method;default method;default method;2
data keyword;data keyword;data keyword;0
algebraic;algebraic;algebraic;0
runtime statistic;runtime statistic;runtime statistics, runtime statistic;0
tail function 2nd 3rd 4th;tail function 2nd 3rd 4th;tail function 2nd 3rd 4th;0
infix form;infix form;infix form;0
persistence layer;persistence layer;persistence layer;0
synonym;synonym;synonyms, synonym;1
lazy I/O;lazy I/O;lazy I/O;0
grayscale image format 2nd;grayscale image format 2nd;grayscale image format 2nd;0
typed pointer;typed pointer;typed pointers, typed pointer;0
:reload command;: reload command;:reload command;0
area code;area code;area code;11
show;show;show;42
API design;api design;API design;0
HUnit library;hunit library;HUnit library;0
Control.Arrow module;Control.Arrow module;Control.Arrow module;0
case check;case check;case checks, case check;4
html tag;html tag;html tag;8
xml;xml;XML, xml;196
sequential sorting;sequential sorting;sequential sorting;0
Data.Ratio module;Data.Ratio module;Data.Ratio module;0
unlines function 2nd;unlines function 2nd;unlines function 2nd;0
filterm;filterm;filterm;0
dict;dict;dict;9
split function;split function;split function;0
test pass;test pas;test passes, test pass;5
waitfor function;waitfor function;waitfor function;0
Data.Bits module;Data.Bits module;Data.Bits module;0
text I/O and;text I/O and;text I/O and;0
xml element;xml element;xml elements, xml element;8
foldl and foldr function;foldl and foldr function;foldl and foldr functions, foldl and foldr function;0
generics (java);generic ( java );generics (java);0
typeable typeclass;typeable typeclass;typeable typeclass;0
conjunction;conjunction;conjunction;1
formal parameter;formal parameter;formal parameters, formal parameter;0
bison command;bison command;bison command;0
source file;source file;source files, source file;1
resource;resource;resources, resource;19
string-handling;string-handling;string-handling;0
filter function 2nd;filter function 2nd;filter function 2nd;0
command-line processing;command-line processing;command-line processing;2
summary;summary;summary;33
safe keyword;safe keyword;safe keyword;0
ASCII control code;ascii control code;ASCII control codes, ASCII control code;0
