Term;Stemmed;Variations;Frequency
recursive data structure;recursive data structure;recursive data structure;3
known value;known value;known values, known value;0
object contain;object contain;object contains, object contain;0
sum;sum;sum;41
slice list;slice list;slice list;0
planned development;planned development;planned development;2
list traverse recursively;list traverse recursively;list traverse recursively;0
access;access;access;9
straight flush;straight flush;straight flush;1
version;version;version;77
closure function;closure function;closure function;0
template;template;template;1
permanent address;permanent address;permanent address;0
numeral;numeral;numerals, numeral;0
binary tree;binary tree;binary tree;2
html tag;html tag;html tag;0
method;method;methods, method;191
body;body;body;20
redirect;redirect;redirect;0
actual search;actual search;actual search;0
compile function;compile function;compile function;0
scalar multiplication;scalar multiplication;scalar multiplication;2
guardian;guardian;guardian;4
list operand;list operand;list operand;0
animal game;animal game;animal game;0
running code;running code;running code;0
high-level language;high-level language;high-level language;14
path;path;path;4
error messages syntax;error message syntax;error messages syntax;0
natural way;natural way;natural way;5
interpret;interpret;interpret;4
preorder;preorder;preorder;2
search;search;search;2
modifier;modifier;modifier;10
python tutorial;python tutorial;python tutorial;0
template engine;template engine;template engine;0
step;step;step;29
queue;queue;queue;56
file object;file object;file objects, file object;4
delimiter;delimiter;delimiter;11
abstraction layer;abstraction layer;abstraction layers, abstraction layer;0
xml document;xml document;xml documents, xml document;0
argument name;argument name;argument name;0
web page;web page;web pages, web page;0
match object;match object;match objects, match object;0
text substitution;text substitution;text substitutions, text substitution;0
accessories folder;accessory folder;accessories folder;0
shuffle;shuffle;shuffle;7
verbose;verbose;verbose;1
pentium;pentium;pentium;1
python reference manual;python reference manual;python reference manual;1
call graph function;call graph function;call graph function;0
wsdl file;wsdl file;wsdl file;0
api;api;api;0
modifier function;modifier function;modifier function;0
prompt;prompt;prompt;21
decrement;decrement;decrement;2
coercion;coercion;coercion;4
improved implementation;improved implementation;improved implementation;0
unit;unit;unit;4
overloading operator overloading;overloading operator overloading;overloading operator overloading;0
executable;executable;executable;2
final keyword;final keyword;final keyword;0
scaffolding;scaffolding;scaffolding;3
loop variable;loop variable;loop variable;12
full path;full path;full path;0
sibling node;sibling node;sibling node;0
parent class;parent class;parent class;4
second parameter;second parameter;second parameter;2
encode;encode;encode;6
entire match;entire match;entire match;0
doc string;doc string;doc string;0
type;type;types, type;181
start;start;start;46
full test;full test;full test;0
chained conditional statement;chained conditional statement;chained conditional statement;0
False generalization;false generalization;program generalization, False generalization;0
mutable type;mutable type;mutable types, mutable type;2
different variable;different variable;different variables, different variable;1
single test;single test;single test;0
encoding scheme;encoding scheme;encoding scheme;0
match function;match function;match function;0
calling function;calling function;calling function;0
outer function;outer function;outer function;1
flag;flag;flags, flag;0
special value;special value;special values, special value;3
text file;text file;text file;6
python version;python version;python versions, python version;0
gamma function;gamma function;gamma function;1
implicit context;implicit context;implicit context;0
common directory;common directory;common directory;0
socket;socket;sockets, socket;0
logarithm;logarithm;logarithm;9
standard input;standard input;standard input;0
none;none;none;47
word;word;word;47
root node;root node;root node;1
portability;portability;portability;1
immutable data type;immutable data type;immutable data type;0
functional programming;functional programming;functional programming;2
work;work;works, work;61
tree node expression;tree node expression;tree node expression;0
error messages semantic;error message semantic;error messages semantic;0
whitespace;whitespace;whitespace;9
com index;com index;com index;0
list length;list length;list length;1
natural language;natural language;natural language;17
pickle;pickle;pickle;8
example;example;examples, example;194
copy module;copy module;copy module;0
infinite recursion;infinite recursion;infinite recursion;16
same list;same list;same list;1
mental model;mental model;mental model;3
process;process;process;32
attribute;attribute;attributes, attribute;44
in operator overloading;in operator overloading;in operator overloading;0
loop condition;loop condition;loop condition;1
print statement;print statement;print statement;8
newline;newline;newline;38
python programming;python programming;python programming;1
compile;compile;compile;1
fundamental ambiguity theorem;fundamental ambiguity theorem;fundamental ambiguity theorem;3
python library;python library;python library;1
tab;tab;tab;10
sense;sense;sense;13
error handling;error handling;error handling;0
redirect handler;redirect handler;redirect handler;0
join function;join function;join function;0
cloning;cloning;cloning;2
counting;counting;counting;4
inheritance;inheritance;inheritance;16
planned development plan;planned development plan;planned development plan;0
namespace;namespace;namespace;0
feature;feature;features, feature;23
write;write;write;94
animal;animal;animal;24
mutable;mutable;mutable;11
examples directory;example directory;examples directory;0
parameter;parameter;parameter;74
compiled regular expression;compiled regular expression;compiled regular expression;0
product;product;product;29
irrational;irrational;irrational;1
compound statement;compound statement;compound statement;8
clone;clone;clone;3
slouse;slouse;slice, slouse;0
second time;second time;second time;1
collection;collection;collection;14
command-line argument;command-line argument;command-line arguments, command-line argument;0
redundancy;redundancy;redundancy;2
uppercase;uppercase;uppercase;6
xml attribute;xml attribute;xml attribute;0
test case;test case;test cases, test case;3
modu import;modu import;modu import;0
soap service;soap service;soap service;0
postorder;postorder;postorder;2
python support;python support;python supports, python support;0
constant time;constant time;constant time;7
priority queue;priority queue;priority queue;13
temporary variable;temporary variable;temporary variable;10
object print statement;object print statement;object print statement;0
datatype;datatype;datatype;0
compound data type;compound data type;compound data type;6
documentation;documentation;documentation;4
function argument;function argument;function arguments, function argument;0
fibonacci function;fibonacci function;fibonacci function;0
django;django;django;0
minimal example;minimal example;minimal example;0
operation dictionary;operation dictionary;operation dictionary;0
python interpreter;python interpreter;python interpreter;6
dynamic binding;dynamic binding;dynamic binding;0
order;order;order;53
main menu;main menu;main menu;0
same line;same line;same line;1
character class;character class;character class;0
non-limited length;non-limited length;non-limited length;0
deck;deck;deck;82
in operator;in operator;in operator;3
list implementation;list implementation;list implementation;1
FIFO;fifo;FIFO;3
variable role;variable role;variable roles, variable role;0
special class;special class;special class;0
interpreter;interpreter;interpreter;23
debugging information;debugging information;debugging information;0
partial ordering;partial ordering;partial ordering;0
negation;negation;negation;3
data attribute;data attribute;data attributes, data attribute;0
normal python;normal python;normal python;0
list method;list method;list method;4
processor time;processor time;processor time;0
initialization method;initialization method;initialization method;13
accessing element;accessing element;accessing element;1
keyword argument;keyword argument;keyword arguments, keyword argument;0
web application;web application;web applications, web application;0
platform;platform;platform;0
handling error;handling error;handling errors, handling error;1
bracket operator overloading;bracket operator overloading;bracket operator overloading;0
class instance;class instance;class instances, class instance;0
string module;string module;string module;0
mathematical operator;mathematical operator;mathematical operator;3
version number;version number;version number;0
proxy class;proxy class;proxy class;0
return;return;returns, return;280
type checking;type checking;type checking;0
python programming extending;python programming extending;python programming extending;0
python;python;python;124
conditional operator overloading;conditional operator overloading;conditional operator overloading;0
subexpression;subexpression;subexpression;3
string object;string object;string object;0
Robert McCloskey;Robert McCloskey;Robert McCloskey;0
framework;framework;framework;0
special method;special method;special methods, special method;2
integer division;integer division;integer division;12
immutable queue;immutable queue;immutable queue;0
python programmer;python programmer;python programmers, python programmer;0
pattern matching;pattern matching;pattern matching;2
decorator;decorator;decorator;0
underscore character;underscore character;underscore character;2
end tag;end tag;end tags, end tag;0
nested list;nested list;nested list;8
single element;single element;single element;3
nameerror;nameerror;nameerror;5
operator override;operator override;operator override;0
token;token;token;31
full pathname;full pathname;full pathname;0
return value;return value;return value;26
similar string;similar string;similar string;0
circular equality;circular equality;circular equality;0
test discovery;test discovery;test discovery;0
escape sequence;escape sequence;escape sequence;6
timing framework;timing framework;timing framework;0
slice index;slice index;slice index;0
static method;static method;static methods, static method;0
low-level language;low-level language;low-level language;4
reduce;reduce;reduce;5
command- line;command- line;command- line;0
ancestor tree;ancestor tree;ancestor tree;0
rule of precedence;rule of precedence;rules of precedence, rule of precedence;3
program crash;program crash;program crashes, program crash;1
operand;operand;operand;58
unicode datum;unicode datum;unicode data, unicode datum;0
operation;operation;operations, operation;85
todo;todo;todo;0
programming paradigm;programming paradigm;programming paradigm;0
complete language;complete language;complete language;0
xml library;xml library;xml libraries, xml library;0
same thing;same thing;same thing;10
matrix;matrix;matrix;24
command-line;command-line;command-line;2
user-defined data type;user-defined data type;user-defined data type;0
regular string;regular string;regular string;0
7-bit ascii;7-bit ascii;7-bit ascii;0
re;re;re;12
recursive equality;recursive equality;recursive equality;0
test module;test module;test module;0
rational;rational;rational;1
actual parameter;actual parameter;actual parameters, actual parameter;0
print;print;print;322
problem-solving;problem-solving;problem-solving;1
style class;style class;style classes, style class;0
dictionary;dictionary;dictionaries, dictionary;51
multiple method;multiple method;multiple methods, multiple method;0
hard-coded string;hard-coded string;hard-coded string;0
standard;standard;standard;7
server respond;server respond;server responds, server respond;0
function body;function body;function body;0
orm;orm;orm;0
format operator;format operator;format operator;4
printing list backward;printing list backward;printing list backwards, printing list backward;0
element;element;elements, element;90
data type;data type;data types, data type;18
infix;infix;infix;10
card;card;card;170
positional arguments;positional arguments;positional arguments;0
logging;logging;logging;0
language;language;languages, language;92
helper function;helper function;helper function;0
traceback;traceback;traceback;9
programming;programming;programming;45
quoted string;quoted string;quoted strings, quoted string;0
introduction;introduction;introduction;0
length;length;length;43
recursive definition;recursive definition;recursive definition;6
unit test;unit test;unit tests, unit test;0
concatenation;concatenation;concatenation;5
continue statement;continue statement;continue statement;1
user;user;user;32
singleton;singleton;singleton;6
geometric sequence;geometric sequence;geometric sequence;1
pseudocode;pseudocode;pseudocode;0
usage summary;usage summary;usage summary;0
number;number;numbers, number;174
rank;rank;rank;31
your code;your code;your code;2
support function;support function;support function;0
path information;path information;path information;0
message;message;message;45
portable;portable;portable;1
sample code;sample code;sample code;0
service;service;services, service;2
wrapper function;wrapper function;wrapper function;1
ordering;ordering;ordering;1
unary operator;unary operator;unary operator;0
system;system;systems, system;9
wrapper;wrapper;wrapper;5
parent node;parent node;parent node;1
priority;priority;priority;27
operator work;operator work;operator works, operator work;1
single argument;single argument;single argument;2
append method;append method;append method;0
statement;statement;statements, statement;201
performance hazard;performance hazard;performance hazard;0
aliasing reference;aliasing reference;aliasing reference;0
stack diagram;stack diagram;stack diagram;13
using list;using list;using list;0
tuple;tuple;tuples, tuple;41
tool;tool;tools, tool;1
xml atom;xml atom;xml atom;0
start tag;start tag;start tags, start tag;0
resource management;resource management;resource management;0
operator override function;operator override function;operator override functions, operator override function;0
task;task;task;4
augmented assignment;augmented assignment;augmented assignment;0
functional programming style;functional programming style;functional programming style;2
list as argument;list a argument;list as argument;1
copy;copy;copy;50
two-dimensional table;two-dimensional table;two-dimensional table;1
recursive cursor;recursive cursor;recursive cursor;0
object-oriented design;object-oriented design;object-oriented design;0
negative number;negative number;negative numbers, negative number;1
database;database;database;0
iteration;iteration;iteration;11
project;project;projects, project;1
postfix;postfix;postfix;15
tuple value;tuple value;tuple value;0
infinite list;infinite list;infinite list;3
str;str;str;51
code style;code style;code style;0
binary operator overloading;binary operator overloading;binary operator overloading;0
immutable type;immutable type;immutable types, immutable type;5
continuous integration;continuous integration;continuous integration;0
default processing;default processing;default processing;0
result;result;results, result;101
value at once;value at once;values at once, value at once;0
debugging;debugging;debugging;24
counter;counter;counter;4
false;false;false;32
shorthand syntax;shorthand syntax;shorthand syntax;0
true division;true division;true division;0
object instance;object instance;object instance;0
syntax error;syntax error;syntax errors, syntax error;14
argument;argument;arguments, argument;121
generalization;generalization;generalization;6
ancestor method;ancestor method;ancestor method;0
period specify;period specify;period specifies, period specify;0
increment;increment;increment;14
individual attribute;individual attribute;individual attributes, individual attribute;0
compile-time error;compile-time error;compile-time error;0
knowledge base;knowledge base;knowledge base;1
text datum;text datum;text data, text datum;0
invalid index;invalid index;invalid index;0
mutable object;mutable object;mutable objects, mutable object;2
class name;class name;class name;0
multiple assignment;multiple assignment;multiple assignment;5
minion hosts;minion hosts;minion hosts;0
note;note;note;5
instance;instance;instance;19
invoking method;invoking method;invoking method;0
re module;re module;re module;0
object-oriented programming;object-oriented programming;object-oriented programming;9
dealing card;dealing card;dealing cards, dealing card;2
performance;performance;performance;5
python project;python project;python project;0
aliasing;aliasing;aliasing;6
soap;soap;soap;0
slice indice;slice indice;slice indices, slice indice;0
literalness;literalness;literalness;1
application key;application key;application key;0
computational pattern;computational pattern;computational pattern;2
conditional statement;conditional statement;conditional statement;9
denominator;denominator;denominator;30
frabjuou;frabjuou;frabjuous, frabjuou;0
python style;python style;python style;0
literal hyphen;literal hyphen;literal hyphen;0
arbitrary argument;arbitrary argument;arbitrary argument;0
regular;regular;regular;3
long flag;long flag;long flags, long flag;0
complete ordering;complete ordering;complete ordering;0
class;class;classes, class;178
persistence layer;persistence layer;persistence layer;0
bug;bug;bug;9
dom;dom;dom;0
url;url;url;0
doc;doc;docs, doc;3
request;request;requests, request;0
list object;list object;list object;1
pure function;pure function;pure functions, pure function;10
valid roman numeral;valid roman numeral;valid roman numeral;0
script;script;script;10
embedded refernece;embedded refernece;embedded refernece;0
else clause;else clause;else clause;0
embedded reference;embedded reference;embedded reference;4
section;section;section;44
argument list;argument list;argument list;1
area code;area code;area code;0
second slouse;second slouse;second slice, second slouse;0
randrange;randrange;randrange;4
operator overloading format;operator overloading format;operator overloading format;0
text;text;text;24
random;random;random;33
string slouse;string slouse;string slice, string slouse;0
base case;base case;base case;17
syntax;syntax;syntax;58
tab size;tab size;tab size;0
control flow;control flow;control flow;0
case check;case check;case checks, case check;0
oldmaidgame;oldmaidgame;oldmaidgame;8
xml;xml;xml;0
non-escaped backslash;non-escaped backslash;non-escaped backslash;0
precedence;precedence;precedence;10
class attribute;class attribute;class attribute;10
grammar file;grammar file;grammar file;0
expression syntax;expression syntax;expression syntax;0
interactive mode;interactive mode;interactive mode;0
testing code;testing code;testing code;0
global namespace;global namespace;global namespace;0
case study;case study;case study;0
formal language;formal language;formal language;17
dict;dict;dict;3
tuple assignment;tuple assignment;tuple assignment;6
ambiguity;ambiguity;ambiguity;12
abstracting input;abstracting input;abstracting input;0
override;override;override;8
test pass;test pas;test passes, test pass;0
default argument;default argument;default arguments, default argument;0
rectangle;rectangle;rectangle;25
using list comprehension;using list comprehension;using list comprehension;0
xml element;xml element;xml elements, xml element;0
invoke;invoke;invoke;22
temporary redirect;temporary redirect;temporary redirects, temporary redirect;0
context manager;context manager;context manager;0
class method;class method;class methods, class method;0
try statement;try statement;try statement;0
shallow equality;shallow equality;shallow equality;3
date checking;date checking;date checking;0
import;import;import;28
mental list;mental list;mental list;0
pseudorandom;pseudorandom;pseudorandom;2
formal parameter;formal parameter;formal parameters, formal parameter;0
compiler;compiler;compiler;9
command-line application;command-line application;command-line applications, command-line application;0
resource;resource;resources, resource;0
keyword;keyword;keyword;3
incremental program development;incremental program development;incremental program development;0
instantiate;instantiate;instantiate;4
command-line processing;command-line processing;command-line processing;0
http layer;http layer;http layer;0
summary;summary;summary;0
remembered group;remembered group;remembered group;0
search result;search result;search results, search result;0
dead code;dead code;dead code;3
empty tree node;empty tree node;empty tree node;0
deep copy;deep copy;deep copy;2
abstract data type;abstract data type;abstract data type;3
traverse;traverse;traverse;23
set;set;sets, set;48
reference;reference;reference;47
redirect statu;redirect statu;redirect status, redirect statu;0
element attribute;element attribute;element attributes, element attribute;0
frame;frame;frame;15
testing;testing;testing;9
module;module;modules, module;34
trick;trick;trick;3
url routing;url routing;url routing;0
single quoted string;single quoted string;single quoted strings, single quoted string;0
non- ascii;non- ascii;non- ascii;0
list equality;list equality;list equality;0
euclid;euclid;euclid;2
polymorphic;polymorphic;polymorphic;2
sameness;sameness;sameness;2
fundamental rule;fundamental rule;fundamental rules, fundamental rule;1
mutable list;mutable list;mutable list;0
alphabetic character;alphabetic character;alphabetic characters, alphabetic character;0
list operator;list operator;list operators, list operator;0
expression tree;expression tree;expression tree;10
pattern;pattern;pattern;10
python web;python web;python web;0
getattr;getattr;getattr;0
error checking;error checking;error checking;0
call graph;call graph;call graph;2
file-like object;file-like object;file-like objects, file-like object;0
call;call;calls, call;92
invariant;invariant;invariant;12
reading;reading;reading;11
inorder;inorder;inorder;4
email;email;email;0
template file;template file;template files, template file;0
source code;source code;source code;4
comparable;comparable;comparable;1
syndicated feed;syndicated feed;syndicated feed;0
special class method;special class method;special class methods, special class method;0
linked queue;linked queue;linked queue;5
list as parameter;list a parameter;list as parameter;0
abecedarian;abecedarian;abecedarian;2
file type;file type;file type;0
comparable fraction;comparable fraction;comparable fraction;0
key;key;key;38
interface;interface;interface;10
raise exception;raise exception;raise exception;0
python standard;python standard;python standard;0
configuration;configuration;configuration;0
encapsulate;encapsulate;encapsulate;8
indexerror;indexerror;indexerror;5
attributeerror;attributeerror;attributeerror;2
installation;installation;installation;0
object invariant;object invariant;object invariant;0
license;license;licenses, license;1
handle exception;handle exception;handle exception;0
compound statement body;compound statement body;compound statement body;0
command list;command list;command lists, command list;0
line of code;line of code;lines of code, line of code;6
roman;roman;roman;0
http web service;http web service;http web services, http web service;0
non-numeric character;non-numeric character;non-numeric characters, non-numeric character;0
binary operator;binary operator;binary operator;2
html processing;html processing;html processing;0
expression;expression;expressions, expression;189
helper method;helper method;helper method;1
generic;generic;generic;2
python class;python class;python classes, python class;0
soap web service;soap web service;soap web services, soap web service;0
simple;simple;simple;23
pop;pop;pop;17
index specify;index specify;index specifies, index specify;0
log file;log file;log file;0
basic fact;basic fact;basic facts, basic fact;0
ascii character;ascii character;ascii characters, ascii character;0
fraction comparison;fraction comparison;fraction comparison;0
linux;linux;linux;3
table;table;table;25
url library;url library;url library;0
xml datum;xml datum;xml data, xml datum;0
single xml;single xml;single xml;0
linkedlist;linkedlist;linkedlist;13
arithmetic sequence;arithmetic sequence;arithmetic sequence;1
python knowledge base;python knowledge base;python knowledge base;0
function call;function call;function calls, function call;23
url opener;url opener;url opener;0
source;source;source;5
last character;last character;last character;3
list element;list element;list elements, list element;1
python object;python object;python objects, python object;0
json;json;json;0
printing list;printing list;printing list;0
math function;math function;math function;3
background process;background process;background processes, background process;0
string comparison;string comparison;string comparison;1
numpy;numpy;numpy;0
xml schema;xml schema;xml schema;0
veneer;veneer;veneer;5
incremental development;incremental development;incremental development;7
open source;open source;open source;0
normal method;normal method;normal methods, normal method;0
verbose regular expression;verbose regular expression;verbose regular expression;0
single statement;single statement;single statement;1
tuple as return value;tuple a return value;tuple as return value;0
partial pathname;partial pathname;partial pathname;0
list traversal;list traversal;list traversal;2
overloading;overloading;overloading;4
supports python;support python;supports python;0
list operation;list operation;list operation;5
python programming module;python programming module;python programming modules, python programming module;0
encapsulation;encapsulation;encapsulation;5
operator overloading;operator overloading;operator overloading;4
case;case;cases, case;84
floating-point;floating-point;floating-point;23
exception;exception;exceptions, exception;25
handling;handling;handling;1
external;external;external;1
current directory;current directory;current directory;2
built-in file;built-in file;built-in file;0
program development;program development;program development;6
nested loop;nested loop;nested loop;1
cursor;cursor;cursor;8
accumulator;accumulator;accumulator;3
pass statement;pas statement;pass statement;0
formatting;formatting;formatting;0
capture group;capture group;capture groups, capture group;0
nested structure;nested structure;nested structure;1
error;error;errors, error;188
string operation;string operation;string operation;0
guide;guide;guide;1
recursive function;recursive function;recursive function;6
dot product;dot product;dot product;3
layer;layer;layer;0
character classification;character classification;character classification;1
leaf node;leaf node;leaf node;4
parse;parse;parse;8
python programming database;python programming database;python programming databases, python programming database;0
deep equality;deep equality;deep equality;6
prose;prose;prose;1
priority queueing;priority queueing;priority queueing;2
node class;node class;node class;0
finditer function;finditer function;finditer function;0
same name;same name;same name;4
list deletion;list deletion;list deletion;1
right syntax;right syntax;right syntax;0
long integer division;long integer division;long integer division;0
recursion;recursion;recursion;34
poetry;poetry;poetry;4
input test;input test;input tests, input test;0
short flag;short flag;short flags, short flag;0
html;html;html;44
service url;service url;service url;0
copying;copying;copying;9
document;document;document;47
composition;composition;composition;5
same time;same time;same time;5
list parameter;list parameter;list parameter;2
development plan;development plan;development plan;6
assignment;assignment;assignment;50
function object;function object;function object;0
web server;web server;web servers, web server;0
linear time;linear time;linear time;2
roman numeral representation;roman numeral representation;roman numeral representation;0
oldmaidhand;oldmaidhand;oldmaidhand;6
key-value pair;key-value pair;key-value pair;10
soap server;soap server;soap server;0
stack;stack;stack;68
identity;identity;identity;0
python library reference;python library reference;python library reference;1
logical operator;logical operator;logical operator;5
conditional execution;conditional execution;conditional execution;2
memory usage;memory usage;memory usage;0
try;try;try;33
Queue ADT;queue adt;Queue ADT;10
conditional expression;conditional expression;conditional expressions, conditional expression;0
greatest common divisor;greatest common divisor;greatest common divisor;2
client;client;client;7
command;command;command;14
deck object;deck object;deck object;0
override function;override function;override functions, override function;0
default value;default value;default values, default value;8
python exception;python exception;python exception;0
comment;comment;comments, comment;8
integer directory;integer directory;integer directory;0
unary negation;unary negation;unary negation;2
entire xml;entire xml;entire xml;0
point class;point class;point class;0
manipulation;manipulation;manipulation;0
developer kit;developer kit;developer kit;0
ascii string;ascii string;ascii string;0
conditional branching;conditional branching;conditional branching;0
setting item;setting item;setting items, setting item;0
web;web;web;0
ADT;adt;ADT;34
import statement;import statement;import statements, import statement;0
arthur conan doyle;arthur conan doyle;arthur conan doyle;0
hint;hint;hint;4
method initialization;method initialization;method initialization;0
state diagram;state diagram;state diagram;16
standard error;standard error;standard error;0
character;character;characters, character;88
safe language;safe language;safe language;0
working directory;working directory;working directory;0
ancestor class;ancestor class;ancestor class;0
status code;status code;status code;0
shallow copy;shallow copy;shallow copy;1
input;input;input;25
named argument;named argument;named arguments, named argument;0
match;match;matches, match;38
child node;child node;child node;1
same object;same object;same object;15
grains system;grain system;grains system;0
comparable string;comparable string;comparable string;0
command-line flag;command-line flag;command-line flags, command-line flag;0
good idea;good idea;good idea;14
boolean expression;boolean expression;boolean expression;11
sherlock holme;sherlock holme;sherlock holmes, sherlock holme;0
valid roman;valid roman;valid roman;0
polymorphism;polymorphism;polymorphism;3
different part;different part;different parts, different part;0
integer;integer;integer;109
list concatenation;list concatenation;list concatenation;0
human-readable part;human-readable part;human-readable part;0
command prompt;command prompt;command prompt;0
string;string;strings, string;222
intel;intel;intel;2
long integer;long integer;long integers, long integer;4
split function;split function;split function;0
built-in function;built-in function;built-in function;10
pickling;pickling;pickling;2
alan turing;alan turing;alan turing;1
your project;your project;your project;0
type conversion;type conversion;type conversion;4
big and hairy expression;big and hairy expression;big and hairy expression;0
index;index;index;95
loop;loop;loops, loop;125
for loop;for loop;for loop;0
mode;mode;mode;8
output buffer;output buffer;output buffer;0
url handler;url handler;url handler;0
python code;python code;python code;0
processing instruction;processing instruction;processing instruction;0
comprehension support;comprehension support;comprehension supports, comprehension support;0
assignment statement;assignment statement;assignment statement;10
sequence;sequence;sequence;45
multiple value;multiple value;multiple values, multiple value;0
generic data structure;generic data structure;generic data structure;2
extra processing;extra processing;extra processing;1
library;library;libraries, library;2
type coercion;type coercion;type coercion;3
same way;same way;same way;2
multiple fraction assignment;multiple fraction assignment;multiple fraction assignment;0
default method;default method;default method;1
server;server;servers, server;0
program control;program control;program control;0
function composition;function composition;function composition;0
soap web;soap web;soap web;0
pesky background;pesky background;pesky background;0
abstract class;abstract class;abstract class;0
same datum;same datum;same data, same datum;0
integration;integration;integration;0
subclass;subclass;subclass;5
real file;real file;real files, real file;0
everything;everything;everything;3
underlying http;underlying http;underlying http;0
turing thesi;turing thesi;turing thesis, turing thesi;0
provider;provider;provider;5
standard output;standard output;standard output;0
scientific python;scientific python;scientific python;0
hello world;hello world;hello world;0
child class;child class;child class;2
programming language;programming language;programming languages, programming language;16
incremental development plan;incremental development plan;incremental development plan;0
target dictionary;target dictionary;target dictionary;0
object;object;objects, object;210
run;run;run;36
run command;run command;run command;0
local bin;local bin;local bin;0
except statement;except statement;except statement;0
tree;tree;tree;154
instantiation;instantiation;instantiation;1
current working;current working;current working;0
print usage;print usage;print usage;0
linked list;linked list;linked list;15
uppercase input;uppercase input;uppercase input;0
arbitrary header;arbitrary header;arbitrary headers, arbitrary header;0
output;output;output;64
method dictionary;method dictionary;method dictionary;0
__name__;__name__;__name__;0
string length;string length;string length;0
stage;stage;stage;2
chapter;chapter;chapter;43
removing card;removing card;removing cards, removing card;3
install;install;install;0
extension;extension;extensions, extension;1
object code;object code;object code;3
column;column;column;20
last item;last item;last item;3
test suite;test suite;test suite;0
numerator;numerator;numerator;28
factorial function;factorial function;factorial function;0
error message;error message;error messages, error message;23
numeric character;numeric character;numeric characters, numeric character;0
parsing xml;parsing xml;parsing xml;0
current working directory;current working directory;current working directory;0
loop body;loop body;loop body;0
constructor;constructor;constructor;7
return statement;return statement;return statement;4
os;os;os;302
code block;code block;code blocks, code block;0
block;block;block;9
software;software;software;0
antecedents test;antecedent test;antecedents test;0
py;py;py;7
eureka traversal;eureka traversal;eureka traversal;0
modifying list;modifying list;modifying lists, modifying list;1
built-in support;built-in support;built-in support;0
image;image;image;0
float;float;float;16
loop traversal;loop traversal;loop traversal;0
equality;equality;equality;15
compound statement header;compound statement header;compound statement header;0
runtime error;runtime error;runtime error;18
immutable string;immutable string;immutable string;0
operator;operator;operator;114
wsdl proxy;wsdl proxy;wsdl proxy;0
fraction multiplication;fraction multiplication;fraction multiplication;1
server send;server send;server sends, server send;0
range check;range check;range check;0
python database api;python database api;python database api;0
class definition;class definition;class definitions, class definition;16
networking;networking;networking;0
compression;compression;compression;0
html version;html version;html version;44
circular buffer;circular buffer;circular buffer;0
dictionary operand;dictionary operand;dictionary operand;0
support;support;supports, support;8
python ide;python ide;python ide;0
base class;base class;base class;0
text editor;text editor;text editor;1
boolean function;boolean function;boolean function;5
fraction;fraction;fraction;71
suit;suit;suit;38
prototype development;prototype development;prototype development;4
map to;map to;map to;4
lambda;lambda;lambda;1
function;function;functions, function;468
current instance;current instance;current instance;0
