"","Term","Chapters"
"710","getchar",0
"711","python 2nd 3rd",0
"712","getdirectorycontents function",0
"713","numeric types 2nd",0
"714","alternatives (value constructors)",0
"715","reserved word",0
"716","foreignfunctioninterface",0
"717","raw (p5) netpbm format",0
"718","nomonomorphismrestriction language extension",0
"719","SQL (Structured Query Language)",0
"720","queries (database)",0
"721","do expression",0
"722","structures 2nd 3rd [see also data structures]",0
"723","hfilesize function",0
"724","id function",0
"725","square brackets ([ ])",0
"726","fibonacci number",0
"727","lambda calculu",0
"728","foldr function",0
"729","curried function",0
"730","autocommit mode (databases)",0
"731","right value",0
"732","setfiletimes function",0
"733","parse type 2nd",0
"734","regexp [see regular expressions]",0
"735","throw function",0
"736","tointeger function",0
"737","symbolic evaluation",0
"738","realtofrac function",0
"739","multiline literal",0
"740","frominteger function",0
"741","quickcheck function",0
"742","Data.Map module 2nd",0
"743","parallel programs 2nd",0
"744","multiline string literal",0
"745","shiftr function",0
"746","Coding.hs",0
"747","hugs interpreter",0
"748","IConnection typeclass",0
"749",">>= (bind) function",0
"750","any newtype constructor",0
"751","word type",0
"752","isalpha",0
"753","atomically block",0
"754","signum",0
"755","x:xs pattern",0
"756","expr",0
"757","representing datum",0
"758","pi value",0
"759","fractional division (/) option",0
"760","question mark (?)",0
"761","parsebyte function",0
"762","commutativity",0
"763","memoization",0
"764","strings and character",0
"765","seq function",0
"766","test datum",0
"767","prompt directive (ghci)",0
"768","threeequal",0
"769","return keyword",0
"770","synonyms (types)",0
"771","try keyword",0
"772","recursive data structure",0
"773","downloading support material",0
"774","digittoint",0
"775","do notation",0
"776","Control.Monad.Trans module",0
"777","cons operator",0
"778","pcre.h header file",0
"779","hseek function",0
"780","logbase function",0
"781","3d vector type",0
"782","overloaded literal",0
"783","Control.Exception module 2nd 3rd",0
"784","LINE pragma",0
"785","Haskell Foreign Function Interface (FFI)",0
"786","eratosthene",0
"787","Product id of barcodes",0
"788","I/O (input/output) and",0
"789","pack function",0
"790","algebraic type",0
"791","processing [see file processing]",0
"792","System.FilePath module 2nd",0
"793","record syntax 2nd",0
"794","program development",0
"795","advantage of functional programming",0
"796","custom data types for",0
"797","Data.Traversable module",0
"798","specialization",0
"799","beside",0
"800","MVar type 2nd 3rd",0
"801","listing directories with",0
"802","-sstderr RTS option 2nd",0
"803","state monads 2nd 3rd",0
"804","isalphanum",0
"805","emptydatadecl",0
"806","type class constraint",0
"807","compiling source code",0
"808","unification",0
"809","nobuffering mode (buffermode)",0
"810","permissive type",0
"811","Build-Depends field",0
"812","anonymous (lambda) functions 2nd",0
"813","data-directed programming",0
"814","pure error handling",0
"815","nothing value",0
"816","zipwith function",0
"817","reading/modifying state",0
"818","toupper function",0
"819","withtransaction function",0
"820","openbinarytempfile function",0
"821","program error",0
"822","Haskell Program Coverage (HPC)",0
"823","Data.Monoid module",0
"824","Data.Sequence module",0
"825","overlappinginstances language extension",0
"826","left-biased function",0
"827","foldr1",0
"828","word64 type",0
"829","getmodificationtime function",0
"830","pseudo-random number",0
"831","sum type",0
"832","Control.Parallel.Strategies module",0
"833","ghc compiler 2nd",0
"834","type class instance",0
"835","DST (Daylight Saving Time)",0
"836","randomr function",0
"837","else keyword",0
"838","putst function",0
"839","implicit state 2nd",0
"840","program transformation",0
"841","templates (c++)",0
"842","vs. tab character",0
"843","closed world assumption",0
"844","traverse function 2nd",0
"845","UTC (Coordinated Universal Time)",0
"846","sfetchallrows' function",0
"847","main loop (GUI programming)",0
"848","blackhorse",0
"849","NTree",0
"850","-fvia-C GHC option",0
"851","Foreign.C.String module 2nd",0
"852","equational reasoning",0
"853","enum keyword (C/C++)",0
"854","miranda",0
"855","applicative operator",0
"856","intensionality",0
"857","insert function",0
"858","cases (value constructors)",0
"859","linebuffering mode (buffermode)",0
"860","printf (c) option",0
"861","p3 (plain) netpbm image format",0
"862","join function",0
"863","associativity of operators",0
"864","control-with-character escapes",0
"865","universal newline support",0
"866","numeric 2nd",0
"867","programming environment",0
"868","invertcolour",0
"869","conversion between types",0
"870","typeclasses 2nd",0
"871","pipe (|)",0
"872","true boolean value",0
"873","GET method (HTTP)",0
"874","intergral",0
"875","undefinedness",0
"876","ubuntu linux",0
"877","mempty",0
"878","hamming number",0
"879","properties as function",0
"880","NF (normal form)",0
"881","whitespace in expressions",0
"882","shift function",0
"883","pair (2-tuple)",0
"884","GHC-Options property",0
"885","prelude module 2nd",0
"886","leaky code",0
"887","serverstate",0
"888","head function 2nd 3rd",0
"889","concat function 2nd 3rd",0
"890","Data.Foldable module 2nd",0
"891","otherwise expression",0
"892","hash tables 2nd",0
"893","poke function",0
"894","floating-point number",0
"895","binary search tree",0
"896","return calls 2nd",0
"897","indice of arrays",0
"898","right-associative signature",0
"899","custom data type for errors",0
"900","logical or (||)",0
"901","inheritance",0
"902","set comprehension",0
"903","international language support",0
"904","Control.Applicative module",0
"905","cl compiler",0
"906","max",0
"907","combinator function",0
"908","search tree",0
"909","primitive recursion",0
"910","fliph",0
"911","System.Posix.Files module",0
"912","polymorphic types 2nd",0
"913","bison command",0
"914","user IDs (UIDs)",0
"915","qualifier",0
"916","ADT (abstract data types)",0
"917","definedness",0
"918","well typed rule",0
"919","programming paradigm",0
"920","FFI (Haskell Foreign Function Interface)",0
"921","putstr function",0
"922","maybet monad transformer 2nd",0
"923","then and else branch",0
"924","rawsystem function 2nd",0
"925","mode based testing",0
"926","derivedatatypeable language",0
"927","patternguard",0
"928","Data.Function module",0
"929","handlejust function",0
"930","islower",0
"931","flexibleinstance",0
"932","domino effect",0
"933","-funbox-strict-fields option 2nd",0
"934","turning two into many",0
"935","diffarray type",0
"936","headers (HTTP)",0
"937","generalization",0
"938","ant",0
"939","ptr type",0
"940","conditional equation",0
"941","getst function",0
"942","import directive 2nd",0
"943","pcre_exec function",0
"944","visibility of definitions",0
"945","monads and 2nd",0
"946","struct keyword (C/C++)",0
"947","data keyword",0
"948","main thread waiting for other threads",0
"949","stateful computation",0
"950","tail function 2nd 3rd 4th",0
"951","grayscale image format 2nd",0
"952",":reload command",0
"953","Data.Ratio module",0
"954","universal quantifier",0
"955","functional picture",0
"956","split function",0
"957","waitfor function",0
"958","Data.Bits module",0
"959","text I/O and",0
"960","foldl and foldr function",0
"961","generics (java)",0
"962","conjunction",0
"963","formal parameter",0
"964","passing datum between c and haskell",0
"965","filter function 2nd",0
"966","safe keyword",0
"967","ASCII control code",0
"968","generalizednewtypederiving 2nd 3rd",0
"969","algebraic data structure",0
"970","rnf function",0
"971","mainloop keyword",0
"972","unlines function 2nd",0
"973","manufacturer ID of barcodes",0
"974","malloc c function",0
"975","stdin function",0
"976","spine for maps",0
"977","System.Time module",0
"978","triple (3-tuple)",0
"979","lists and tuple",0
"980","Text.Regex.Posix module",0
"981","hsc2hs command",0
"982","float type",0
"983","PCRE (Perl-compatible regular expression)",0
"984","quot function",0
"985","hoogle",0
"986","huffman code",0
"987","GUI (graphical user interface) programming",0
"988","class declaration",0
"989","project idea",0
"990","specializing for IO",0
"991","ranges (pattern matching)",0
"992","lists 2nd 3rd 4th",0
"993","java programming language",0
"994","Control.Parallel module",0
"995","exceptions 2nd",0
"996","System.Random module",0
"997","word8 type",0
"998","System.Exit module",0
"999","left value 2nd",0
"1000","bangpattern",0
"1001","lazy reading from databases",0
"1002","haselfmagic function",0
"1003","floating-point operator",0
"1004","report flag (hpc)",0
"1005","interact function",0
"1006","System.IO library",0
"1007","line constructor",0
"1008","adding safely to PCRE",0
"1009","bounded type class",0
"1010","typesynonyminstances 2nd",0
"1011","getprocessstatus function",0
"1012","readint function 2nd",0
"1013","fedora linux",0
"1014","composition|see{function composition",0
"1015","metadata (database)",0
"1016","constant applicative forms (CAFs)",0
"1017","quickcheck 2nd",0
"1018","peek function",0
"1019","multiparamtypeclass",0
"1020","forkmanaged function",0
"1021","statet monad transformer",0
"1022","child socket",0
"1023","identity transformation (foldr)",0
"1024","floating point operator",0
"1025","foldr function 2nd",0
"1026","shared-state",0
"1027","numeric escape",0
"1028","delete function",0
"1029","writer type",0
"1030","extensionality principle",0
"1031","Parsec CSV file",0
"1032","recip function",0
"1033","split-base Cabal flag",0
"1034","help command (ghci)",0
"1035",":set prompt 2nd",0
"1036","openfile function 2nd",0
"1037","high-order function",0
"1038","generalizednewtypederiving extension 2nd",0
"1039","filename matching",0
"1040","pcre_fullinfo function",0
"1041","gtk2h",0
"1042","rational type",0
"1043","modifyMVar function",0
"1044","I/O (input/output)",0
"1045","components (types)",0
"1046","multitasking",0
"1047","nondeterministic value",0
"1048","sin function",0
"1049","first-class citizen",0
"1050","unsafeIOToSTM function",0
"1051","handle function",0
"1052","logical and (&&)",0
"1053","hprint function",0
"1054","STM (software transactional memory)",0
"1055","pcre_compile function",0
"1056","sqrt function",0
"1057","fromrational function",0
"1058","declarations (module)",0
"1059","maybe implementation",0
"1060","withforeignptr function",0
"1061","inductive/recursive case",0
"1062","binding power",0
"1063","lift function 2nd",0
"1064","functor typeclass",0
"1065","inttodigit",0
"1066","juxtaposition",0
"1067","domain-specific language",0
"1068","PCRE libraries and",0
"1069","form function",0
"1070","ghemawat",0
"1071","maxbound function",0
"1072","escaping text",0
"1073","color image",0
"1074","bounded variable",0
"1075","metadatum",0
"1076","System.IO.Error module",0
"1077","Exposed-Modules field",0
"1078","sepby function",0
"1079","h function",0
"1080","group function",0
"1081","partial application of functions",0
"1082","number system of barcodes",0
"1083","uncurrying",0
"1084","xor function",0
"1085","binding c to haskell",0
"1086","unsafePerformIO function",0
"1087","JSON typclass",0
"1088","applicative value",0
"1089","readfile function 2nd 3rd",0
"1090","seekmode parameter (htell)",0
"1091","scientific notation",0
"1092","applicative law",0
"1093","Reverse Polish Notation (RPN)",0
"1094","GHC (Glasgow Haskell Compiler)",0
"1095","making instance",0
"1096","maxium function",0
"1097","sqlvalues type",0
"1098","log function",0
"1099","lookaheads (regular expressions)",0
"1100","union type",0
"1101","arbitrary typeclass 2nd 3rd",0
"1102","unsafe keyword",0
"1103","tab (\t) character",0
"1104","truncate function 2nd",0
"1105","hclose function 2nd",0
"1106","pwd command",0
"1107","using strong type",0
"1108","idempotence",0
"1109","unix-compat package",0
"1110","mapreduce (google)",0
"1111","high-level wrapper",0
"1112","dummy value at errors",0
"1113","deferred computation",0
"1114","opentempfile function",0
"1115","left-associative",0
"1116","Data.Array module",0
"1117","laziness and space leak",0
"1118","sizing safely",0
"1119","marshaling",0
"1120","netpbm file format 2nd",0
"1121","-fvia-C option",0
"1122","System.Posix module",0
"1123","high-order",0
"1124","understanding program",0
"1125","drivers (HDBC)",0
"1126","putchar",0
"1127","event-driven programming",0
"1128","describetable function",0
"1129","readln",0
"1130","patternguards language extension",0
"1131","Data.Char module",0
"1132","unwords function",0
"1133","marshaling datum",0
"1134","horse",0
"1135","readert monad layer",0
"1136","typesynonyminstances language extension 2nd",0
"1137","(>>=) function and 2nd 3rd",0
"1138","System.Environment module",0
"1139","forward composition",0
"1140","declaring instance",0
"1141","fst function 2nd",0
"1142","numeric conversion",0
"1143","domain-specific language for",0
"1144","weak head normal form (WHNF) 2nd 3rd",0
"1145","Data.Typeable module",0
"1146","Structured Query Language (SQL)",0
"1147","list of successes method",0
"1148","outmess",0
"1149","writechan function",0
"1150","redex",0
"1151","tocalendartime function",0
"1152","selector",0
"1153","JavaScript Object Notation [See JSON]",0
"1154","enum typeclass",0
"1155","-fhpc flag",0
"1156","loosely coupled",0
"1157","relation",0
"1158","GHC.Conc module 2nd",0
"1159","c programming",0
"1160","word16 type",0
"1161","foldl1",0
"1162","Map.insert function",0
"1163","lifting function",0
"1164","anonymous type",0
"1165","underscore character (_)",0
"1166","force function",0
"1167","writefile function",0
"1168","algebraic expression",0
"1169","system message",0
"1170","uncurry",0
"1171","zipper",0
"1172","OverlappingInstances/TypeSynonymInstances language extension",0
"1173","lookuptable",0
"1174","mapm function 2nd",0
"1175","parsechar function",0
"1176","command-line editing",0
"1177","shadowing parameter",0
"1178","enumerated type",0
"1179","pythagorean triple",0
"1180","modelling",0
"1181","truth table",0
"1182","buffermode type",0
"1183","union keyword (C/C++)",0
"1184","strict and lazy bytestring",0
"1185","getstatus function",0
"1186","folding from left",0
"1187","toUTCTime function",0
"1188","master socket",0
"1189","queuestate",0
"1190",".hs source file",0
"1191","space leaks 2nd 3rd",0
"1192","communication between 2nd",0
"1193","zero-width escape sequence",0
"1194","System.Win32 module",0
"1195","point (.) character",0
"1196","normal form (NF)",0
"1197","IConnection function",0
"1198","minbound function",0
"1199","partial type monad instance",0
"1200","values (undefined)",0
"1201","expression type|see",0
"1202","gettables function",0
"1203","Data.List module",0
"1204","type-checking",0
"1205","mplus function",0
"1206","purity 2nd 3rd [see also pure functions]",0
"1207","ghci interpreter 2nd",0
"1208","simulation",0
"1209","edit distance",0
"1210","backquote",0
"1211","parsetimes function",0
"1212","plusptr function",0
"1213","concurrent programs 2nd",0
"1214","where clause 2nd",0
"1215","POST method (HTTP)",0
"1216","type keyword",0
"1217","chr",0
"1218","randoms function",0
"1219","rem function",0
"1220","\t (tab) character",0
"1221","Control.Arrow module",0
"1222","dynamic programming",0
"1223","alist (association lists)",0
"1224","HCode",0
"1225","takewhile function",0
"1226","torational function",0
"1227","let expression",0
"1228","isdigit",0
"1229","monotype",0
"1230","dispatch function",0
"1231",":type command 2nd",0
"1232","objects 2nd",0
"1233","blending c with haskell",0
"1234","main function",0
"1235","lines function 2nd 3rd",0
"1236","unzip",0
"1237","zip function",0
"1238","maps 2nd 3rd",0
"1239","bounded typeclass",0
"1240","binary datum",0
"1241","lambda function",0
"1242","emptydatadecls language extension",0
"1243","inclusive or",0
"1244","foldm",0
"1245","head normal form (HNF)",0
"1246","inmess",0
"1247","prefix form",0
"1248","htell function",0
"1249","membe",0
"1250","System.Directory module",0
"1251","folding from right",0
"1252","monadic expression",0
"1253","Foreign.Ptr module",0
"1254","listarray function",0
"1255","reverse function",0
"1256","getstdrandom function",0
"1257","foldl function",0
"1258","decodemessage",0
"1259","conditional with guards",0
"1260","control.Concurrent",0
"1261","explicit type declaration",0
"1262","program modification",0
"1263","pattern of computation",0
"1264","symbol table",0
"1265","PRNG (pseudorandom number generator)",0
"1266","input/output",0
